date,close,Bid,Ask,asset
04-Mar-2022,1.0927,1.0926,1.0928,EUR
25-Feb-2022,1.1269,1.1267,1.1271,EUR
18-Feb-2022,1.1323,1.1321,1.1325,EUR
11-Feb-2022,1.1351,1.1349,1.1353,EUR
04-Feb-2022,1.1448,1.1446,1.1450,EUR
28-Jan-2022,1.1145,1.1143,1.1147,EUR
21-Jan-2022,1.1342,1.1340,1.1344,EUR
14-Jan-2022,1.1416,1.1414,1.1418,EUR
07-Jan-2022,1.1361,1.1359,1.1363,EUR
31-Dec-2021,1.137,1.1368,1.1372,EUR
24-Dec-2021,1.1319,1.1317,1.1321,EUR
17-Dec-2021,1.1241,1.1239,1.1243,EUR
10-Dec-2021,1.1313,1.1311,1.1315,EUR
03-Dec-2021,1.1315,1.1313,1.1317,EUR
26-Nov-2021,1.1319,1.1317,1.1321,EUR
19-Nov-2021,1.1289,1.1288,1.1290,EUR
12-Nov-2021,1.1452,1.1450,1.1454,EUR
05-Nov-2021,1.15675,1.1566,1.1569,EUR
29-Oct-2021,1.1563,1.1561,1.1565,EUR
22-Oct-2021,1.1649,1.1647,1.1651,EUR
15-Oct-2021,1.1602,1.1600,1.1604,EUR
08-Oct-2021,1.1569,1.1567,1.1571,EUR
01-Oct-2021,1.1596,1.1594,1.1598,EUR
24-Sept-2021,1.1716,1.1714,1.1718,EUR
17-Sept-2021,1.1727,1.1725,1.1729,EUR
10-Sept-2021,1.1815,1.1814,1.1816,EUR
03-Sept-2021,1.1883,1.1882,1.1884,EUR
27-Aug-2021,1.1795,1.1793,1.1797,EUR
20-Aug-2021,1.1697,1.1696,1.1698,EUR
13-Aug-2021,1.1793,1.1791,1.1795,EUR
06-Aug-2021,1.17615,1.1760,1.1763,EUR
30-Jul-2021,1.1871,1.1870,1.1872,EUR
23-Jul-2021,1.1773,1.1771,1.1775,EUR
16-Jul-2021,1.1806,1.1805,1.1807,EUR
09-Jul-2021,1.1875,1.1873,1.1877,EUR
02-Jul-2021,1.1865,1.1864,1.1866,EUR
25-Jun-2021,1.1935,1.1933,1.1937,EUR
18-Jun-2021,1.1862,1.1860,1.1864,EUR
11-Jun-2021,1.2108,1.2106,1.2110,EUR
04-Jun-2021,1.2167,1.2165,1.2169,EUR
28-May-2021,1.2191,1.2189,1.2193,EUR
21-May-2021,1.2181,1.2179,1.2183,EUR
14-May-2021,1.2142,1.2140,1.2144,EUR
07-May-2021,1.2164,1.2163,1.2165,EUR
30-Apr-2021,1.202,1.2018,1.2022,EUR
23-Apr-2021,1.21,1.2099,1.2101,EUR
16-Apr-2021,1.1985,1.1983,1.1987,EUR
09-Apr-2021,1.1898,1.1896,1.1900,EUR
02-Apr-2021,1.1764,1.1762,1.1766,EUR
26-Mar-2021,1.1798,1.1796,1.1800,EUR
19-Mar-2021,1.1904,1.1903,1.1905,EUR
12-Mar-2021,1.1954,1.1952,1.1956,EUR
05-Mar-2021,1.1918,1.1917,1.1919,EUR
26-Feb-2021,1.2076,1.2074,1.2078,EUR
19-Feb-2021,1.2119,1.2117,1.2121,EUR
12-Feb-2021,1.212,1.2118,1.2122,EUR
05-Feb-2021,1.2044,1.2042,1.2046,EUR
29-Jan-2021,1.21365,1.2136,1.2137,EUR
22-Jan-2021,1.2168,1.2167,1.2169,EUR
15-Jan-2021,1.208,1.2078,1.2082,EUR
08-Jan-2021,1.2219,1.2218,1.2220,EUR
01-Jan-2021,1.2214,1.2212,1.2216,EUR
25-Dec-2020,1.2206,1.2204,1.2208,EUR
18-Dec-2020,1.2257,1.2255,1.2259,EUR
11-Dec-2020,1.2113,1.2111,1.2115,EUR
04-Dec-2020,1.2122,1.2120,1.2124,EUR
27-Nov-2020,1.19635,1.1962,1.1965,EUR
20-Nov-2020,1.1855,1.1853,1.1857,EUR
13-Nov-2020,1.1834,1.1832,1.1836,EUR
06-Nov-2020,1.1874,1.1872,1.1876,EUR
30-Oct-2020,1.1649,1.1647,1.1651,EUR
23-Oct-2020,1.1861,1.1859,1.1863,EUR
16-Oct-2020,1.172,1.1718,1.1722,EUR
09-Oct-2020,1.1826,1.1824,1.1828,EUR
02-Oct-2020,1.1715,1.1713,1.1717,EUR
25-Sept-2020,1.1632,1.1630,1.1634,EUR
18-Sept-2020,1.1839,1.1837,1.1841,EUR
