date,Close,Bid,Ask,Asset
04-Mar-2022,114.795,114.78,114.81,JPY
25-Feb-2022,115.575,115.56,115.59,JPY
18-Feb-2022,115.025,115.00,115.05,JPY
11-Feb-2022,115.425,115.41,115.44,JPY
04-Feb-2022,115.215,115.20,115.23,JPY
28-Jan-2022,115.255,115.24,115.27,JPY
21-Jan-2022,113.695,113.68,113.71,JPY
14-Jan-2022,114.215,114.20,114.23,JPY
07-Jan-2022,115.565,115.55,115.58,JPY
31-Dec-2021,115.095,115.08,115.11,JPY
24-Dec-2021,114.425,114.41,114.44,JPY
17-Dec-2021,113.685,113.67,113.70,JPY
10-Dec-2021,113.385,113.38,113.39,JPY
03-Dec-2021,112.815,112.80,112.83,JPY
26-Nov-2021,113.325,113.31,113.34,JPY
19-Nov-2021,113.995,113.98,114.01,JPY
12-Nov-2021,113.865,113.85,113.88,JPY
05-Nov-2021,113.415,113.40,113.43,JPY
29-Oct-2021,114.015,114.00,114.03,JPY
22-Oct-2021,113.475,113.46,113.49,JPY
15-Oct-2021,114.215,114.20,114.23,JPY
08-Oct-2021,112.235,112.22,112.25,JPY
01-Oct-2021,111.07,111.05,111.09,JPY
24-Sept-2021,110.735,110.72,110.75,JPY
17-Sept-2021,109.975,109.96,109.99,JPY
10-Sept-2021,109.935,109.93,109.94,JPY
03-Sept-2021,109.745,109.73,109.76,JPY
27-Aug-2021,109.835,109.82,109.85,JPY
20-Aug-2021,109.815,109.80,109.83,JPY
13-Aug-2021,109.585,109.57,109.60,JPY
06-Aug-2021,110.265,110.25,110.28,JPY
30-Jul-2021,109.715,109.70,109.73,JPY
23-Jul-2021,110.555,110.54,110.57,JPY
16-Jul-2021,110.095,110.08,110.11,JPY
09-Jul-2021,110.155,110.14,110.17,JPY
02-Jul-2021,111.055,111.04,111.07,JPY
25-Jun-2021,110.79,110.77,110.81,JPY
18-Jun-2021,110.195,110.19,110.20,JPY
11-Jun-2021,109.665,109.65,109.68,JPY
04-Jun-2021,109.505,109.49,109.52,JPY
28-May-2021,109.825,109.81,109.84,JPY
21-May-2021,108.955,108.94,108.97,JPY
14-May-2021,109.355,109.34,109.37,JPY
07-May-2021,108.615,108.60,108.63,JPY
30-Apr-2021,109.285,109.27,109.30,JPY
23-Apr-2021,107.925,107.91,107.94,JPY
16-Apr-2021,108.785,108.77,108.80,JPY
09-Apr-2021,109.665,109.65,109.68,JPY
02-Apr-2021,110.725,110.71,110.74,JPY
26-Mar-2021,109.655,109.64,109.67,JPY
19-Mar-2021,108.885,108.87,108.90,JPY
12-Mar-2021,109.015,109.00,109.03,JPY
05-Mar-2021,108.355,108.34,108.37,JPY
26-Feb-2021,106.595,106.58,106.61,JPY
19-Feb-2021,105.445,105.43,105.46,JPY
12-Feb-2021,104.945,104.93,104.96,JPY
05-Feb-2021,105.375,105.36,105.39,JPY
29-Jan-2021,104.695,104.68,104.71,JPY
22-Jan-2021,103.785,103.77,103.80,JPY
15-Jan-2021,103.885,103.87,103.90,JPY
08-Jan-2021,103.945,103.93,103.96,JPY
01-Jan-2021,103.205,103.20,103.21,JPY
25-Dec-2020,103.495,103.48,103.51,JPY
18-Dec-2020,103.325,103.31,103.34,JPY
11-Dec-2020,104.025,104.01,104.04,JPY
04-Dec-2020,104.155,104.14,104.17,JPY
27-Nov-2020,104.115,104.10,104.13,JPY
20-Nov-2020,103.855,103.85,103.86,JPY
13-Nov-2020,104.635,104.62,104.65,JPY
06-Nov-2020,103.355,103.33,103.38,JPY
30-Oct-2020,104.655,104.64,104.67,JPY
