date,Close,Bid,Ask,asset
04-Mar-2022,35.4200,35.4200,35.4300,MSE
25-Feb-2022,39.5350,39.5100,39.5350,MSE
18-Feb-2022,40.4900,40.4900,40.5050,MSE
11-Feb-2022,41.3050,41.2900,41.3050,MSE
04-Feb-2022,40.5850,40.5700,40.5850,MSE
28-Jan-2022,41.1600,41.1400,41.1600,MSE
21-Jan-2022,41.9850,41.9850,42.0100,MSE
14-Jan-2022,42.4050,42.4050,42.4150,MSE
07-Jan-2022,42.7100,42.7100,42.7300,MSE
31-Dec-2021,42.6500,42.6250,42.6500,MSE
24-Dec-2021,42.2500,42.2500,42.3350,MSE
17-Dec-2021,41.2700,41.2500,41.2700,MSE
10-Dec-2021,41.6500,41.6500,41.6650,MSE
03-Dec-2021,40.4750,40.4450,40.4750,MSE
26-Nov-2021,40.5400,40.5400,40.5750,MSE
19-Nov-2021,43.1900,43.1750,43.1900,MSE
12-Nov-2021,43.3100,43.3100,43.3150,MSE
05-Nov-2021,43.2450,43.2300,43.2450,MSE
29-Oct-2021,42.1100,42.1100,42.1250,MSE
22-Oct-2021,41.4750,41.4750,41.4900,MSE
15-Oct-2021,41.4100,41.3950,41.4100,MSE
08-Oct-2021,40.3300,40.3150,40.3300,MSE
01-Oct-2021,39.9350,39.9200,39.9350,MSE
24-Sept-2021,41.1150,41.1000,41.1150,MSE
17-Sept-2021,40.7350,40.7050,40.7350,MSE
10-Sept-2021,41.1300,41.1200,41.1300,MSE
03-Sept-2021,41.4450,41.4300,41.4450,MSE
27-Aug-2021,41.3450,41.3200,41.3450,MSE
20-Aug-2021,40.8950,40.8950,40.9100,MSE
13-Aug-2021,41.7100,41.7100,41.7200,MSE
06-Aug-2021,41.1650,41.1650,41.1800,MSE
30-Jul-2021,40.3400,40.3250,40.3400,MSE
23-Jul-2021,40.5250,40.5250,40.5400,MSE
16-Jul-2021,39.7850,39.7750,39.7850,MSE
09-Jul-2021,40.1050,40.1050,40.1200,MSE
02-Jul-2021,40.2500,40.2500,40.2700,MSE
