date,Close,Bid,Ask,asset
04-Mar-2022,183.68,183.66,183.68,GLD
25-Feb-2022,176.55,176.51,176.52,GLD
18-Feb-2022,177.12,177.13,177.14,GLD
11-Feb-2022,173.81,173.79,173.81,GLD
04-Feb-2022,168.86,168.84,168.85,GLD
28-Jan-2022,167.10,167.05,167.06,GLD
21-Jan-2022,171.09,171.08,171.09,GLD
14-Jan-2022,169.67,169.64,169.66,GLD
07-Jan-2022,167.75,167.74,167.75,GLD
31-Dec-2021,170.96,170.92,170.94,GLD
24-Dec-2021,168.97,168.99,169.00,GLD
17-Dec-2021,167.80,167.81,167.82,GLD
10-Dec-2021,166.58,166.59,166.60,GLD
03-Dec-2021,166.63,166.60,166.61,GLD
26-Nov-2021,166.85,166.87,166.91,GLD
19-Nov-2021,172.61,172.64,172.65,GLD
12-Nov-2021,174.45,174.41,174.42,GLD
05-Nov-2021,169.84,169.81,169.83,GLD
29-Oct-2021,166.65,166.63,166.64,GLD
22-Oct-2021,167.77,167.73,167.74,GLD
15-Oct-2021,165.33,165.32,165.34,GLD
08-Oct-2021,164.23,164.26,164.27,GLD
01-Oct-2021,164.59,164.57,164.58,GLD
24-Sept-2021,163.30,163.31,163.33,GLD
17-Sept-2021,163.77,163.79,163.82,GLD
10-Sept-2021,167.18,167.21,167.22,GLD
03-Sept-2021,171.06,171.05,171.06,GLD
27-Aug-2021,170.19,170.16,170.18,GLD
20-Aug-2021,166.70,166.72,166.74,GLD
13-Aug-2021,166.39,166.40,166.42,GLD
06-Aug-2021,164.64,164.65,164.66,GLD
30-Jul-2021,169.82,169.78,169.79,GLD
23-Jul-2021,168.56,168.55,168.56,GLD
16-Jul-2021,169.41,169.40,169.42,GLD
09-Jul-2021,169.21,169.19,169.20,GLD
02-Jul-2021,167.29,167.33,167.34,GLD
25-Jun-2021,166.59,166.57,166.58,GLD
18-Jun-2021,164.93,164.93,164.94,GLD
11-Jun-2021,175.74,175.68,175.69,GLD
04-Jun-2021,177.16,177.16,177.17,GLD
28-May-2021,178.38,178.28,178.30,GLD
21-May-2021,176.04,176.03,176.04,GLD
14-May-2021,172.69,172.67,172.68,GLD
07-May-2021,171.59,171.56,171.59,GLD
30-Apr-2021,165.66,165.66,165.67,GLD
23-Apr-2021,166.40,166.38,166.39,GLD
16-Apr-2021,166.35,166.36,166.37,GLD
09-Apr-2021,163.27,163.28,163.29,GLD
02-Apr-2021,161.98,161.98,161.99,GLD
26-Mar-2021,162.24,162.26,162.27,GLD
19-Mar-2021,163.24,163.28,163.29,GLD
12-Mar-2021,161.49,161.48,161.49,GLD
05-Mar-2021,159.14,159.12,159.13,GLD
26-Feb-2021,161.81,161.83,161.84,GLD
19-Feb-2021,167.01,167.00,167.01,GLD
12-Feb-2021,170.69,170.72,170.73,GLD
05-Feb-2021,169.81,169.79,169.80,GLD
29-Jan-2021,172.61,172.64,172.65,GLD
22-Jan-2021,173.90,173.87,173.88,GLD
15-Jan-2021,171.13,171.15,171.16,GLD
08-Jan-2021,173.34,173.27,173.30,GLD
01-Jan-2021,178.36,178.34,178.35,GLD
25-Dec-2020,176.35,176.32,176.34,GLD
18-Dec-2020,176.44,176.46,176.47,GLD
11-Dec-2020,172.49,172.52,172.53,GLD
04-Dec-2020,172.32,172.28,172.30,GLD
27-Nov-2020,167.79,167.76,167.77,GLD
20-Nov-2020,175.69,175.72,175.73,GLD
13-Nov-2020,177.16,177.17,177.18,GLD
06-Nov-2020,183.19,183.22,183.23,GLD
30-Oct-2020,176.20,176.21,176.23,GLD
23-Oct-2020,178.64,178.67,178.68,GLD
16-Oct-2020,178.30,178.26,178.27,GLD
09-Oct-2020,181.08,181.09,181.10,GLD
02-Oct-2020,178.54,178.53,178.54,GLD
25-Sept-2020,174.94,174.93,174.94,GLD
18-Sept-2020,183.20,183.17,183.18,GLD
11-Sept-2020,182.45,182.38,182.41,GLD
04-Sept-2020,181.64,181.67,181.73,GLD
28-Aug-2020,184.39,184.39,184.40,GLD
21-Aug-2020,182.03,182.04,182.06,GLD
14-Aug-2020,182.54,182.55,182.56,GLD
07-Aug-2020,190.81,190.76,190.79,GLD
31-Jul-2020,185.43,185.48,185.52,GLD
24-Jul-2020,178.70,178.76,178.77,GLD
17-Jul-2020,170.12,170.14,170.15,GLD
10-Jul-2020,169.19,169.11,169.15,GLD
03-Jul-2020,166.98,166.90,166.91,GLD
26-Jun-2020,166.54,166.50,166.53,GLD
19-Jun-2020,164.03,164.00,164.01,GLD
12-Jun-2020,162.62,162.66,162.69,GLD
05-Jun-2020,158.01,158.02,158.03,GLD
29-May-2020,162.91,162.86,162.87,GLD
22-May-2020,163.21,163.18,163.20,GLD
15-May-2020,163.93,163.90,163.91,GLD
08-May-2020,160.42,160.49,160.50,GLD
01-May-2020,159.78,159.78,159.80,GLD
24-Apr-2020,162.64,162.58,162.61,GLD
17-Apr-2020,158.57,158.50,158.51,GLD
10-Apr-2020,158.69,158.57,158.58,GLD
03-Apr-2020,152.65,152.74,152.75,GLD
27-Mar-2020,152.25,152.30,152.31,GLD
20-Mar-2020,140.11,140.14,140.15,GLD
13-Mar-2020,143.28,143.34,143.35,GLD
06-Mar-2020,157.55,157.52,157.53,GLD
28-Feb-2020,148.38,148.51,148.54,GLD
21-Feb-2020,154.70,154.67,154.68,GLD
14-Feb-2020,149.00,148.97,148.98,GLD
07-Feb-2020,147.79,147.77,147.78,GLD
31-Jan-2020,149.33,149.37,149.38,GLD
24-Jan-2020,147.98,147.96,147.97,GLD
17-Jan-2020,146.58,146.59,146.60,GLD
10-Jan-2020,146.91,146.92,146.93,GLD
03-Jan-2020,145.86,145.88,145.89,GLD
27-Dec-2019,142.33,142.31,142.32,GLD
20-Dec-2019,139.52,139.15,139.16,GLD
13-Dec-2019,139.05,139.07,139.08,GLD
06-Dec-2019,137.62,137.58,137.59,GLD
29-Nov-2019,137.86,137.88,137.89,GLD
22-Nov-2019,137.74,137.74,137.75,GLD
15-Nov-2019,138.21,138.19,138.20,GLD
08-Nov-2019,137.39,137.39,137.40,GLD
01-Nov-2019,142.56,142.58,142.59,GLD
25-Oct-2019,141.86,141.87,141.88,GLD
18-Oct-2019,140.46,140.47,140.48,GLD
11-Oct-2019,140.03,140.02,140.04,GLD
04-Oct-2019,141.90,141.91,141.92,GLD
27-Sept-2019,141.06,141.03,141.04,GLD
20-Sept-2019,142.95,142.97,142.98,GLD
13-Sept-2019,140.15,140.17,140.18,GLD
06-Sept-2019,141.92,141.92,141.93,GLD
30-Aug-2019,143.75,143.73,143.74,GLD
23-Aug-2019,144.17,144.16,144.17,GLD
16-Aug-2019,142.78,142.79,142.81,GLD
09-Aug-2019,141.26,141.30,141.31,GLD
02-Aug-2019,135.89,135.90,135.91,GLD
26-Jul-2019,133.64,133.62,133.63,GLD
19-Jul-2019,134.47,134.46,134.47,GLD
12-Jul-2019,133.53,133.49,133.50,GLD
05-Jul-2019,132.14,132.16,132.17,GLD
28-Jun-2019,133.20,133.17,133.18,GLD
21-Jun-2019,131.98,132.00,132.01,GLD
14-Jun-2019,126.56,126.56,126.57,GLD
07-Jun-2019,126.59,126.58,126.59,GLD
31-May-2019,123.33,123.32,123.33,GLD
24-May-2019,121.30,121.28,121.29,GLD
17-May-2019,120.65,120.64,120.65,GLD
10-May-2019,121.43,121.39,121.40,GLD
03-May-2019,120.65,120.65,120.66,GLD
26-Apr-2019,121.37,121.36,121.37,GLD
19-Apr-2019,120.37,120.39,120.40,GLD
12-Apr-2019,121.83,121.82,121.83,GLD
05-Apr-2019,121.98,121.98,121.99,GLD
29-Mar-2019,122.01,122.01,122.02,GLD
22-Mar-2019,123.97,123.97,123.98,GLD
15-Mar-2019,122.97,122.96,122.97,GLD
08-Mar-2019,122.84,122.83,122.84,GLD
01-Mar-2019,121.88,121.88,121.89,GLD
22-Feb-2019,125.50,125.50,125.51,GLD
15-Feb-2019,124.80,124.80,124.82,GLD
08-Feb-2019,124.21,124.20,124.21,GLD
01-Feb-2019,124.50,124.51,124.52,GLD
25-Jan-2019,122.86,122.84,122.85,GLD
