date,Close,Bid,Ask,asset
04-Mar-2022,91.920,91.680,92.000,VAS
25-Feb-2022,90.330,90.200,90.350,VAS
18-Feb-2022,92.490,92.400,93.000,VAS
11-Feb-2022,92.250,92.200,92.500,VAS
04-Feb-2022,91.090,90.780,91.160,VAS
28-Jan-2022,89.360,89.360,89.500,VAS
21-Jan-2022,91.870,91.870,91.890,VAS
14-Jan-2022,94.550,94.500,95.000,VAS
07-Jan-2022,95.300,95.170,95.630,VAS
31-Dec-2021,95.870,95.800,96.840,VAS
24-Dec-2021,95.510,95.500,95.560,VAS
17-Dec-2021,94.110,94.100,94.900,VAS
10-Dec-2021,94.560,94.500,94.920,VAS
03-Dec-2021,93.200,93.150,93.200,VAS
26-Nov-2021,93.760,93.740,94.140,VAS
19-Nov-2021,95.280,95.290,95.310,VAS
12-Nov-2021,95.710,95.700,95.990,VAS
05-Nov-2021,95.780,95.770,95.800,VAS
29-Oct-2021,93.720,93.700,95.000,VAS
22-Oct-2021,95.010,95.000,95.500,VAS
15-Oct-2021,94.370,94.300,94.500,VAS
08-Oct-2021,93.560,93.620,93.700,VAS
01-Oct-2021,92.020,92.000,92.700,VAS
24-Sept-2021,95.440,95.440,95.500,VAS
17-Sept-2021,96.030,96.000,96.250,VAS
10-Sept-2021,96.160,96.090,97.000,VAS
03-Sept-2021,97.460,97.420,97.480,VAS
27-Aug-2021,96.390,96.330,96.500,VAS
20-Aug-2021,95.810,95.750,96.000,VAS
13-Aug-2021,97.750,97.750,97.860,VAS
06-Aug-2021,96.370,96.360,96.440,VAS
30-Jul-2021,94.560,94.500,94.800,VAS
23-Jul-2021,94.550,94.520,94.590,VAS
16-Jul-2021,93.990,93.860,94.000,VAS
09-Jul-2021,92.960,92.770,93.000,VAS
02-Jul-2021,93.500,93.390,94.000,VAS
25-Jun-2021,93.880,93.800,94.100,VAS
18-Jun-2021,94.550,94.510,95.100,VAS
11-Jun-2021,93.970,93.950,94.100,VAS
04-Jun-2021,93.660,93.600,93.860,VAS
28-May-2021,92.180,92.000,92.350,VAS
21-May-2021,90.340,90.130,90.360,VAS
14-May-2021,89.980,89.950,90.140,VAS
07-May-2021,90.600,90.570,90.600,VAS
30-Apr-2021,89.950,89.870,90.390,VAS
23-Apr-2021,90.300,90.120,90.350,VAS
16-Apr-2021,90.370,90.200,90.370,VAS
09-Apr-2021,89.500,89.490,89.510,VAS
02-Apr-2021,88.000,87.300,88.000,VAS
26-Mar-2021,88.040,87.990,88.230,VAS
19-Mar-2021,86.790,86.780,87.000,VAS
12-Mar-2021,87.220,87.210,87.250,VAS
05-Mar-2021,86.370,86.200,86.990,VAS
26-Feb-2021,85.510,85.500,85.870,VAS
19-Feb-2021,86.990,86.830,88.000,VAS
12-Feb-2021,86.900,86.850,87.500,VAS
05-Feb-2021,87.330,87.290,87.400,VAS
29-Jan-2021,84.360,84.340,85.040,VAS
22-Jan-2021,86.720,86.680,86.850,VAS
15-Jan-2021,85.670,85.650,86.000,VAS
08-Jan-2021,86.110,86.100,86.150,VAS
01-Jan-2021,84.560,84.550,85.100,VAS
25-Dec-2020,85.330,85.300,85.750,VAS
18-Dec-2020,85.360,85.350,86.310,VAS
11-Dec-2020,84.940,84.900,85.400,VAS
04-Dec-2020,84.890,84.850,85.100,VAS
27-Nov-2020,84.380,84.350,84.680,VAS
20-Nov-2020,83.570,83.550,83.800,VAS
13-Nov-2020,81.850,81.660,81.990,VAS
06-Nov-2020,78.950,78.720,78.980,VAS
30-Oct-2020,75.620,75.580,75.690,VAS
23-Oct-2020,78.950,78.800,78.950,VAS
16-Oct-2020,78.870,78.850,79.100,VAS
09-Oct-2020,77.990,77.910,78.000,VAS
02-Oct-2020,73.990,73.890,75.100,VAS
25-Sept-2020,76.600,76.380,76.630,VAS
18-Sept-2020,75.470,75.460,75.670,VAS
11-Sept-2020,75.300,75.280,75.800,VAS
04-Sept-2020,76.030,76.000,76.100,VAS
28-Aug-2020,77.600,77.590,77.950,VAS
21-Aug-2020,77.800,77.800,78.000,VAS
14-Aug-2020,77.810,77.700,78.140,VAS
07-Aug-2020,76.380,76.300,76.780,VAS
31-Jul-2020,75.330,75.000,76.600,VAS
24-Jul-2020,76.500,76.380,77.000,VAS
17-Jul-2020,76.540,76.460,76.680,VAS
10-Jul-2020,75.120,75.000,75.550,VAS
03-Jul-2020,76.810,76.500,77.250,VAS
26-Jun-2020,75.110,75.050,75.250,VAS
19-Jun-2020,75.650,75.500,75.850,VAS
12-Jun-2020,74.410,74.400,74.730,VAS
05-Jun-2020,76.320,76.240,76.600,VAS
29-May-2020,73.220,73.200,74.430,VAS
22-May-2020,69.940,69.930,70.790,VAS
15-May-2020,68.670,68.400,68.800,VAS
08-May-2020,68.510,68.500,68.800,VAS
01-May-2020,67.000,67.000,69.500,VAS
24-Apr-2020,66.430,66.400,66.990,VAS
17-Apr-2020,69.450,69.400,69.850,VAS
10-Apr-2020,68.160,67.860,68.400,VAS
03-Apr-2020,63.930,63.700,65.400,VAS
27-Mar-2020,62.180,62.000,63.000,VAS
20-Mar-2020,61.470,61.400,61.990,VAS
13-Mar-2020,70.980,69.500,72.500,VAS
06-Mar-2020,79.500,79.460,80.800,VAS
28-Feb-2020,81.850,81.830,81.900,VAS
21-Feb-2020,90.550,90.550,91.000,VAS
14-Feb-2020,90.240,90.220,90.390,VAS
07-Feb-2020,88.790,88.780,89.000,VAS
31-Jan-2020,88.750,88.680,89.000,VAS
24-Jan-2020,89.740,89.720,90.290,VAS
17-Jan-2020,89.500,89.250,89.680,VAS
10-Jan-2020,87.900,87.700,87.990,VAS
03-Jan-2020,85.150,85.100,86.000,VAS
27-Dec-2019,86.810,86.810,87.000,VAS
20-Dec-2019,86.730,86.660,87.380,VAS
13-Dec-2019,85.940,85.790,86.000,VAS
06-Dec-2019,85.370,85.380,85.550,VAS
29-Nov-2019,87.140,87.100,87.590,VAS
22-Nov-2019,85.420,85.300,85.420,VAS
15-Nov-2019,86.490,86.480,86.650,VAS
08-Nov-2019,85.210,84.980,85.500,VAS
01-Nov-2019,84.560,84.540,84.570,VAS
25-Oct-2019,85.390,85.350,85.470,VAS
18-Oct-2019,84.250,84.120,85.000,VAS
11-Oct-2019,83.770,83.710,83.800,VAS
04-Oct-2019,82.640,82.600,83.360,VAS
27-Sept-2019,86.160,86.160,86.200,VAS
20-Sept-2019,86.280,86.230,86.950,VAS
13-Sept-2019,85.490,85.300,85.600,VAS
06-Sept-2019,85.170,85.000,85.220,VAS
30-Aug-2019,84.270,84.000,84.490,VAS
23-Aug-2019,82.990,83.000,83.200,VAS
16-Aug-2019,81.340,81.300,82.000,VAS
09-Aug-2019,83.430,83.340,83.600,VAS
02-Aug-2019,85.650,85.500,85.900,VAS
26-Jul-2019,85.990,85.970,86.070,VAS
19-Jul-2019,84.850,84.700,84.990,VAS
12-Jul-2019,84.720,84.650,85.000,VAS
05-Jul-2019,85.410,85.300,85.900,VAS
28-Jun-2019,84.600,84.500,84.900,VAS
21-Jun-2019,84.730,84.720,84.750,VAS
14-Jun-2019,83.540,83.400,83.550,VAS
07-Jun-2019,82.110,81.950,82.200,VAS
31-May-2019,81.420,81.300,82.000,VAS
24-May-2019,82.250,82.070,82.500,VAS
17-May-2019,81.130,81.130,81.450,VAS
10-May-2019,80.020,79.850,80.400,VAS
03-May-2019,80.350,80.250,80.440,VAS
26-Apr-2019,80.900,80.750,80.990,VAS
19-Apr-2019,79.300,79.180,79.500,VAS
12-Apr-2019,79.200,79.080,79.290,VAS
05-Apr-2019,78.290,78.230,78.950,VAS
29-Mar-2019,79.200,79.120,79.750,VAS
22-Mar-2019,79.370,79.330,79.700,VAS
15-Mar-2019,79.200,79.160,79.740,VAS
08-Mar-2019,79.360,79.200,79.970,VAS
01-Mar-2019,79.050,78.930,79.150,VAS
22-Feb-2019,78.370,78.350,78.480,VAS
15-Feb-2019,77.080,76.990,77.440,VAS
08-Feb-2019,76.740,76.600,77.000,VAS
01-Feb-2019,74.170,74.010,74.230,VAS
25-Jan-2019,74.750,74.630,75.000,VAS
18-Jan-2019,74.340,74.320,74.340,VAS
11-Jan-2019,72.990,72.960,73.500,VAS
04-Jan-2019,71.000,71.000,71.300,VAS
28-Dec-2018,72.030,72.230,72.800,VAS
21-Dec-2018,69.630,69.100,71.150,VAS
14-Dec-2018,71.420,71.360,72.800,VAS
07-Dec-2018,72.520,72.300,72.770,VAS
30-Nov-2018,72.260,72.200,73.700,VAS
23-Nov-2018,72.850,72.660,72.930,VAS
