date,Close,Bid,Ask,asset
04-Mar-2022,433.95,434.10,434.15,IVV
25-Feb-2022,439.61,439.58,439.61,IVV
18-Feb-2022,436.07,436.13,436.14,IVV
11-Feb-2022,442.35,442.37,442.42,IVV
04-Feb-2022,450.85,450.67,450.72,IVV
28-Jan-2022,443.75,443.81,443.84,IVV
21-Jan-2022,439.98,439.91,439.92,IVV
14-Jan-2022,466.75,466.69,466.72,IVV
07-Jan-2022,468.10,468.14,468.15,IVV
31-Dec-2021,476.99,476.95,476.98,IVV
24-Dec-2021,472.63,472.63,472.64,IVV
17-Dec-2021,462.11,461.90,461.91,IVV
10-Dec-2021,472.74,472.63,472.67,IVV
03-Dec-2021,455.14,455.20,455.24,IVV
26-Nov-2021,460.62,460.83,460.90,IVV
19-Nov-2021,470.82,470.79,470.80,IVV
12-Nov-2021,469.16,469.10,469.14,IVV
05-Nov-2021,470.40,470.34,470.35,IVV
29-Oct-2021,460.99,461.04,461.05,IVV
22-Oct-2021,454.88,454.91,454.92,IVV
15-Oct-2021,447.68,447.58,447.60,IVV
08-Oct-2021,439.62,439.52,439.53,IVV
01-Oct-2021,435.95,435.86,435.90,IVV
24-Sept-2021,445.74,445.64,445.66,IVV
17-Sept-2021,444.73,444.79,444.82,IVV
10-Sept-2021,447.54,447.47,447.50,IVV
03-Sept-2021,455.07,455.07,455.08,IVV
27-Aug-2021,452.19,452.18,452.19,IVV
20-Aug-2021,445.31,445.28,445.29,IVV
13-Aug-2021,447.85,447.82,447.84,IVV
06-Aug-2021,444.42,444.46,444.48,IVV
30-Jul-2021,440.40,440.41,440.43,IVV
23-Jul-2021,441.76,441.80,441.82,IVV
16-Jul-2021,433.27,433.26,433.27,IVV
09-Jul-2021,437.41,437.37,437.38,IVV
02-Jul-2021,435.64,435.62,435.63,IVV
25-Jun-2021,428.44,428.36,428.39,IVV
18-Jun-2021,416.77,416.78,416.80,IVV
11-Jun-2021,424.74,424.75,424.76,IVV
04-Jun-2021,424.24,424.21,424.22,IVV
28-May-2021,421.65,421.64,421.68,IVV
21-May-2021,416.58,416.55,416.57,IVV
14-May-2021,418.17,418.15,418.15,IVV
07-May-2021,423.73,423.69,423.70,IVV
30-Apr-2021,418.88,418.88,418.89,IVV
23-Apr-2021,418.31,418.28,418.30,IVV
16-Apr-2021,418.89,418.90,418.91,IVV
09-Apr-2021,412.98,412.99,413.00,IVV
02-Apr-2021,402.08,402.04,402.06,IVV
26-Mar-2021,397.45,397.41,397.43,IVV
19-Mar-2021,392.20,392.24,392.25,IVV
12-Mar-2021,395.61,395.61,395.62,IVV
05-Mar-2021,385.07,385.04,385.06,IVV
26-Feb-2021,381.77,381.75,381.76,IVV
19-Feb-2021,391.51,391.48,391.50,IVV
12-Feb-2021,394.18,394.19,394.20,IVV
05-Feb-2021,389.12,389.13,389.14,IVV
29-Jan-2021,371.52,371.51,371.56,IVV
22-Jan-2021,384.31,384.25,384.28,IVV
15-Jan-2021,377.10,377.06,377.09,IVV
08-Jan-2021,382.64,382.64,382.67,IVV
01-Jan-2021,375.39,375.19,375.21,IVV
25-Dec-2020,370.31,370.31,370.32,IVV
18-Dec-2020,370.49,370.42,370.46,IVV
11-Dec-2020,367.62,367.64,367.65,IVV
04-Dec-2020,371.19,371.19,371.20,IVV
27-Nov-2020,364.98,364.98,365.02,IVV
20-Nov-2020,356.63,356.61,356.63,IVV
13-Nov-2020,359.34,359.36,359.37,IVV
06-Nov-2020,351.44,351.44,351.45,IVV
30-Oct-2020,327.62,327.66,327.67,IVV
23-Oct-2020,346.96,346.97,346.99,IVV
16-Oct-2020,348.45,348.46,348.49,IVV
09-Oct-2020,348.01,348.03,348.05,IVV
02-Oct-2020,335.05,335.00,335.02,IVV
25-Sept-2020,329.88,329.81,329.84,IVV
18-Sept-2020,333.34,333.33,333.34,IVV
11-Sept-2020,335.38,335.38,335.43,IVV
04-Sept-2020,343.98,344.00,344.04,IVV
28-Aug-2020,352.00,352.01,352.02,IVV
21-Aug-2020,340.85,340.82,340.84,IVV
14-Aug-2020,338.19,338.21,338.24,IVV
07-Aug-2020,335.95,335.90,335.93,IVV
31-Jul-2020,327.82,327.84,327.86,IVV
24-Jul-2020,322.13,322.13,322.15,IVV
17-Jul-2020,322.99,322.94,322.96,IVV
10-Jul-2020,318.90,318.83,318.86,IVV
03-Jul-2020,313.45,313.41,313.44,IVV
26-Jun-2020,301.14,301.25,301.26,IVV
19-Jun-2020,309.72,309.75,309.76,IVV
12-Jun-2020,305.36,305.31,305.34,IVV
05-Jun-2020,320.48,320.42,320.44,IVV
29-May-2020,305.18,305.22,305.23,IVV
22-May-2020,296.41,296.36,296.40,IVV
15-May-2020,287.16,287.17,287.20,IVV
08-May-2020,293.46,293.38,293.43,IVV
01-May-2020,283.53,283.63,283.64,IVV
24-Apr-2020,283.90,283.96,283.97,IVV
17-Apr-2020,287.58,287.65,287.66,IVV
10-Apr-2020,279.12,279.12,279.14,IVV
03-Apr-2020,249.02,249.00,249.04,IVV
27-Mar-2020,254.24,254.16,254.24,IVV
20-Mar-2020,231.16,231.16,231.41,IVV
13-Mar-2020,271.55,271.96,271.97,IVV
06-Mar-2020,298.70,298.69,298.72,IVV
28-Feb-2020,295.91,297.59,297.60,IVV
21-Feb-2020,335.01,335.00,335.02,IVV
14-Feb-2020,339.07,339.14,339.16,IVV
07-Feb-2020,333.75,333.71,333.72,IVV
31-Jan-2020,323.24,323.16,323.18,IVV
24-Jan-2020,330.23,330.20,330.21,IVV
17-Jan-2020,333.50,333.49,333.50,IVV
10-Jan-2020,327.14,327.12,327.13,IVV
03-Jan-2020,323.81,323.86,323.87,IVV
27-Dec-2019,324.26,324.26,324.27,IVV
20-Dec-2019,322.38,322.34,322.35,IVV
13-Dec-2019,318.64,318.65,318.66,IVV
06-Dec-2019,316.21,316.20,316.21,IVV
29-Nov-2019,315.63,315.64,315.65,IVV
22-Nov-2019,312.31,312.31,312.32,IVV
15-Nov-2019,313.18,313.16,313.17,IVV
08-Nov-2019,310.24,310.26,310.27,IVV
01-Nov-2019,307.53,307.49,307.50,IVV
25-Oct-2019,302.89,302.93,302.94,IVV
18-Oct-2019,299.19,299.24,299.25,IVV
11-Oct-2019,297.48,297.51,297.54,IVV
04-Oct-2019,295.61,295.60,295.61,IVV
27-Sept-2019,296.59,296.59,296.60,IVV
20-Sept-2019,300.81,300.85,300.86,IVV
13-Sept-2019,302.46,302.41,302.44,IVV
06-Sept-2019,299.42,299.43,299.45,IVV
30-Aug-2019,293.87,293.76,293.81,IVV
23-Aug-2019,286.08,286.04,286.06,IVV
16-Aug-2019,290.18,290.14,290.15,IVV
09-Aug-2019,292.96,292.85,292.91,IVV
02-Aug-2019,294.02,294.03,294.05,IVV
26-Jul-2019,303.35,303.31,303.32,IVV
19-Jul-2019,298.49,298.43,298.44,IVV
12-Jul-2019,302.08,302.01,302.03,IVV
05-Jul-2019,299.69,299.69,299.70,IVV
28-Jun-2019,294.35,294.34,294.35,IVV
21-Jun-2019,295.17,295.36,295.37,IVV
14-Jun-2019,290.85,290.78,290.79,IVV
07-Jun-2019,289.27,289.18,289.21,IVV
31-May-2019,276.92,276.83,276.85,IVV
24-May-2019,284.37,284.33,284.34,IVV
17-May-2019,287.51,287.46,287.51,IVV
10-May-2019,289.60,289.58,289.59,IVV
03-May-2019,295.60,295.59,295.60,IVV
26-Apr-2019,295.07,295.05,295.06,IVV
19-Apr-2019,291.60,291.59,291.60,IVV
12-Apr-2019,291.76,291.75,291.76,IVV
05-Apr-2019,290.05,290.06,290.07,IVV
29-Mar-2019,284.17,284.12,284.15,IVV
22-Mar-2019,280.78,280.75,280.78,IVV
15-Mar-2019,283.89,283.97,284.00,IVV
08-Mar-2019,275.82,275.82,275.83,IVV
01-Mar-2019,281.92,281.82,281.85,IVV
22-Feb-2019,280.44,280.47,280.49,IVV
15-Feb-2019,278.78,278.71,278.72,IVV
08-Feb-2019,271.76,271.76,271.77,IVV
01-Feb-2019,271.33,271.34,271.36,IVV
25-Jan-2019,267.13,267.02,267.03,IVV
18-Jan-2019,267.70,267.63,267.66,IVV
11-Jan-2019,260.01,260.07,260.11,IVV
04-Jan-2019,253.71,253.58,253.62,IVV
28-Dec-2018,248.99,248.94,248.96,IVV
21-Dec-2018,242.02,242.09,242.13,IVV
14-Dec-2018,262.04,262.04,262.06,IVV
07-Dec-2018,265.24,265.21,265.24,IVV
30-Nov-2018,277.62,277.48,277.49,IVV
23-Nov-2018,264.95,264.90,264.94,IVV
16-Nov-2018,275.36,275.34,275.35,IVV
09-Nov-2018,279.58,279.53,279.56,IVV
02-Nov-2018,273.52,273.43,273.46,IVV
26-Oct-2018,266.73,266.84,266.92,IVV
19-Oct-2018,277.89,277.86,277.89,IVV
12-Oct-2018,277.65,277.65,277.70,IVV
05-Oct-2018,289.53,289.62,289.64,IVV
28-Sept-2018,292.33,292.34,292.36,IVV
21-Sept-2018,294.96,295.05,295.06,IVV
14-Sept-2018,292.51,292.57,292.60,IVV
07-Sept-2018,289.20,289.21,289.23,IVV
31-Aug-2018,292.04,291.90,291.92,IVV
24-Aug-2018,289.12,289.13,289.15,IVV
17-Aug-2018,286.65,286.64,286.65,IVV
10-Aug-2018,284.68,284.70,284.71,IVV
03-Aug-2018,285.16,285.23,285.26,IVV
27-Jul-2018,282.97,283.05,283.06,IVV
20-Jul-2018,281.23,281.27,281.28,IVV
13-Jul-2018,281.04,281.10,281.11,IVV
06-Jul-2018,276.83,276.86,276.89,IVV
29-Jun-2018,272.68,272.68,272.71,IVV
22-Jun-2018,277.51,277.50,277.51,IVV
15-Jun-2018,279.93,279.99,280.03,IVV
08-Jun-2018,279.66,279.73,279.75,IVV
01-Jun-2018,275.15,275.16,275.19,IVV
25-May-2018,273.60,273.69,273.70,IVV
18-May-2018,272.84,272.85,272.87,IVV
11-May-2018,274.09,274.12,274.14,IVV
04-May-2018,267.45,267.46,267.47,IVV
27-Apr-2018,268.02,268.04,268.05,IVV
20-Apr-2018,268.07,268.09,268.12,IVV
13-Apr-2018,266.60,266.60,266.62,IVV
06-Apr-2018,261.21,261.20,261.21,IVV
30-Mar-2018,265.01,264.92,264.93,IVV
23-Mar-2018,259.47,259.43,259.44,IVV
16-Mar-2018,276.92,276.95,276.96,IVV
09-Mar-2018,280.44,280.50,280.51,IVV
02-Mar-2018,270.83,270.74,270.75,IVV
23-Feb-2018,276.34,276.35,276.36,IVV
16-Feb-2018,274.71,274.72,274.74,IVV
09-Feb-2018,263.31,263.21,263.23,IVV
02-Feb-2018,277.15,277.16,277.17,IVV
26-Jan-2018,288.26,288.27,288.30,IVV
19-Jan-2018,282.10,282.07,282.08,IVV
12-Jan-2018,279.53,279.58,279.59,IVV
05-Jan-2018,274.95,275.03,275.04,IVV
29-Dec-2017,268.48,268.45,268.46,IVV
22-Dec-2017,269.09,269.08,269.09,IVV
15-Dec-2017,269.42,269.36,269.37,IVV
08-Dec-2017,266.93,266.94,266.95,IVV
01-Dec-2017,265.90,265.90,265.91,IVV
24-Nov-2017,261.73,261.76,261.77,IVV
17-Nov-2017,259.27,259.28,259.30,IVV
10-Nov-2017,259.45,259.46,259.47,IVV
03-Nov-2017,259.82,259.83,259.84,IVV
27-Oct-2017,259.05,259.08,259.09,IVV
20-Oct-2017,258.50,258.47,258.48,IVV
13-Oct-2017,256.28,256.29,256.30,IVV
06-Oct-2017,255.76,255.77,255.78,IVV
29-Sept-2017,252.58,252.55,252.56,IVV
22-Sept-2017,252.02,252.02,252.05,IVV
15-Sept-2017,251.79,251.84,251.85,IVV
08-Sept-2017,247.85,247.89,247.91,IVV
01-Sept-2017,249.23,249.23,249.24,IVV
25-Aug-2017,245.84,245.84,245.85,IVV
18-Aug-2017,243.92,243.91,243.92,IVV
11-Aug-2017,245.38,245.40,245.41,IVV
04-Aug-2017,248.72,248.72,248.73,IVV
28-Jul-2017,248.22,248.22,248.23,IVV
21-Jul-2017,248.21,248.21,248.23,IVV
14-Jul-2017,246.76,246.84,246.85,IVV
07-Jul-2017,243.38,243.38,243.39,IVV
30-Jun-2017,243.08,243.05,243.06,IVV
