date,Close,Bid,Ask,asset
04-Mar-2022,129.00000,128.95000,129.00000,IEAC
25-Feb-2022,127.86000,127.48000,127.90000,IEAC
18-Feb-2022,128.70000,128.70000,128.72000,IEAC
11-Feb-2022,128.41000,128.34000,128.41000,IEAC
04-Feb-2022,129.01000,129.01000,129.10000,IEAC
28-Jan-2022,131.75000,131.67000,131.75000,IEAC
21-Jan-2022,132.45500,132.42000,132.49000,IEAC
14-Jan-2022,132.34000,132.34000,132.40000,IEAC
07-Jan-2022,133.23000,133.23000,133.32000,IEAC
31-Dec-2021,133.93000,133.87000,133.99000,IEAC
24-Dec-2021,134.25000,134.25000,134.33000,IEAC
17-Dec-2021,134.83000,134.73000,134.83000,IEAC
10-Dec-2021,134.57500,134.52000,134.63000,IEAC
03-Dec-2021,134.40000,134.40000,134.54000,IEAC
26-Nov-2021,133.67000,133.67000,133.71000,IEAC
19-Nov-2021,134.66000,134.63000,134.75000,IEAC
12-Nov-2021,134.48000,134.48000,134.55000,IEAC
05-Nov-2021,134.89000,134.78000,134.89000,IEAC
29-Oct-2021,133.63000,133.56000,133.63000,IEAC
22-Oct-2021,133.73000,133.71000,133.75000,IEAC
15-Oct-2021,134.25000,134.20000,134.25000,IEAC
08-Oct-2021,134.22000,134.15000,134.22000,IEAC
01-Oct-2021,134.73000,134.72000,134.75000,IEAC
24-Sept-2021,134.74000,134.73000,134.74000,IEAC
17-Sept-2021,135.04500,135.01000,135.08000,IEAC
10-Sept-2021,135.25000,135.25000,135.27000,IEAC
03-Sept-2021,135.39000,135.33000,135.39000,IEAC
27-Aug-2021,135.62000,135.59000,135.65000,IEAC
20-Aug-2021,136.10500,136.08000,136.13000,IEAC
13-Aug-2021,136.02000,135.97000,136.02000,IEAC
06-Aug-2021,136.04000,136.04000,136.08000,IEAC
30-Jul-2021,136.07500,136.04000,136.11000,IEAC
23-Jul-2021,135.81000,135.81000,135.86000,IEAC
16-Jul-2021,135.43500,135.41000,135.46000,IEAC
09-Jul-2021,135.61000,135.55000,135.62000,IEAC
02-Jul-2021,135.25000,135.21000,135.29000,IEAC
25-Jun-2021,134.74500,134.68000,134.81000,IEAC
18-Jun-2021,134.95000,134.94000,134.95000,IEAC
11-Jun-2021,135.20000,135.17000,135.26000,IEAC
04-Jun-2021,134.85000,134.79000,134.91000,IEAC
28-May-2021,134.51500,134.46000,134.57000,IEAC
21-May-2021,134.09000,134.01000,134.09000,IEAC
14-May-2021,134.30000,134.19000,134.32000,IEAC
07-May-2021,134.89000,134.89000,134.91000,IEAC
30-Apr-2021,134.79000,134.61000,134.82000,IEAC
23-Apr-2021,134.94000,134.94000,135.05000,IEAC
16-Apr-2021,134.94000,134.94000,135.03000,IEAC
09-Apr-2021,135.04000,135.00000,135.10000,IEAC
02-Apr-2021,135.24000,135.21000,135.27000,IEAC
26-Mar-2021,134.80000,134.80000,134.94000,IEAC
19-Mar-2021,134.50000,134.46000,134.54000,IEAC
12-Mar-2021,134.67000,134.51000,134.73000,IEAC
05-Mar-2021,134.46000,134.46000,134.60000,IEAC
26-Feb-2021,134.39000,134.35000,134.39000,IEAC
19-Feb-2021,134.97000,134.90000,135.04000,IEAC
12-Feb-2021,135.36000,135.34000,135.44000,IEAC
05-Feb-2021,135.49000,135.48000,135.74000,IEAC
29-Jan-2021,135.50500,135.40000,135.61000,IEAC
22-Jan-2021,135.62000,135.62000,135.80000,IEAC
15-Jan-2021,135.71000,135.71000,135.78000,IEAC
08-Jan-2021,136.58500,136.57000,136.60000,IEAC
01-Jan-2021,136.46000,136.36000,136.46000,IEAC
25-Dec-2020,136.24000,136.14000,136.34000,IEAC
18-Dec-2020,136.47000,136.38000,136.47000,IEAC
11-Dec-2020,136.55000,136.55000,136.64000,IEAC
04-Dec-2020,136.33000,136.27000,136.33000,IEAC
27-Nov-2020,136.17000,136.17000,136.19000,IEAC
20-Nov-2020,135.97500,135.94000,136.01000,IEAC
13-Nov-2020,135.41000,135.41000,135.50000,IEAC
06-Nov-2020,135.42500,135.38000,135.47000,IEAC
30-Oct-2020,134.55000,134.55000,134.61000,IEAC
23-Oct-2020,134.78000,134.78000,134.82000,IEAC
16-Oct-2020,134.83000,134.83000,134.92000,IEAC
09-Oct-2020,134.44000,134.32000,134.44000,IEAC
02-Oct-2020,133.95000,133.95000,134.09000,IEAC
25-Sept-2020,133.39000,133.37000,133.42000,IEAC
18-Sept-2020,133.92000,133.87000,133.97000,IEAC
11-Sept-2020,133.67000,133.67000,133.86000,IEAC
04-Sept-2020,133.60000,133.60000,133.62000,IEAC
28-Aug-2020,133.50000,133.33000,133.50000,IEAC
21-Aug-2020,133.78000,133.78000,133.87000,IEAC
14-Aug-2020,133.27500,133.26000,133.29000,IEAC
07-Aug-2020,133.72000,133.66000,133.72000,IEAC
31-Jul-2020,133.08000,133.05000,133.08000,IEAC
24-Jul-2020,132.95000,132.92000,132.95000,IEAC
17-Jul-2020,132.44500,132.39000,132.50000,IEAC
10-Jul-2020,132.46000,132.40000,132.46000,IEAC
03-Jul-2020,132.17500,132.06000,132.29000,IEAC
26-Jun-2020,131.48000,131.36000,131.48000,IEAC
19-Jun-2020,131.83500,131.80000,131.87000,IEAC
12-Jun-2020,131.89000,131.74000,131.89000,IEAC
05-Jun-2020,132.89000,132.73000,133.05000,IEAC
29-May-2020,130.40000,130.40000,130.41000,IEAC
22-May-2020,129.03000,129.03000,129.46000,IEAC
15-May-2020,128.48000,128.45000,128.61000,IEAC
08-May-2020,129.19500,129.04000,129.35000,IEAC
01-May-2020,129.65000,129.42000,129.65000,IEAC
24-Apr-2020,129.11000,128.99000,129.11000,IEAC
17-Apr-2020,128.52000,128.24000,128.52000,IEAC
10-Apr-2020,128.90000,128.47000,129.10000,IEAC
03-Apr-2020,124.95000,124.77000,125.16000,IEAC
27-Mar-2020,125.69000,125.22000,125.70000,IEAC
20-Mar-2020,123.00000,122.61000,124.13000,IEAC
13-Mar-2020,128.21000,128.21000,129.10000,IEAC
06-Mar-2020,133.80000,133.59000,133.99000,IEAC
28-Feb-2020,133.96000,133.96000,133.97000,IEAC
21-Feb-2020,135.15000,135.12000,135.15000,IEAC
14-Feb-2020,135.04000,135.00000,135.04000,IEAC
07-Feb-2020,134.70000,134.70000,134.82000,IEAC
31-Jan-2020,135.16000,134.87000,135.16000,IEAC
24-Jan-2020,134.54000,134.48000,134.54000,IEAC
17-Jan-2020,133.97000,133.85000,134.15000,IEAC
10-Jan-2020,134.28000,134.18000,134.29000,IEAC
03-Jan-2020,134.72000,134.63000,134.82000,IEAC
27-Dec-2019,134.60000,134.46000,134.62000,IEAC
20-Dec-2019,134.56000,134.43000,134.58000,IEAC
13-Dec-2019,134.56000,134.39000,134.56000,IEAC
06-Dec-2019,134.10000,134.10000,134.20000,IEAC
29-Nov-2019,134.24000,134.23000,134.24000,IEAC
22-Nov-2019,133.90000,133.90000,133.98000,IEAC
15-Nov-2019,134.07000,133.98000,134.07000,IEAC
08-Nov-2019,134.07000,134.00000,134.07000,IEAC
01-Nov-2019,134.57000,134.53000,134.57000,IEAC
25-Oct-2019,134.49000,134.45000,134.49000,IEAC
18-Oct-2019,134.23000,134.22000,134.23000,IEAC
11-Oct-2019,134.24000,134.24000,134.45000,IEAC
04-Oct-2019,134.80000,134.74000,134.81000,IEAC
27-Sept-2019,134.68000,134.64000,134.68000,IEAC
20-Sept-2019,134.39000,134.28000,134.39000,IEAC
13-Sept-2019,134.61000,134.50000,134.61000,IEAC
06-Sept-2019,135.16000,135.16000,135.20000,IEAC
30-Aug-2019,135.77000,135.71000,135.82000,IEAC
23-Aug-2019,135.61000,135.61000,135.75000,IEAC
16-Aug-2019,135.60000,135.60000,135.69000,IEAC
09-Aug-2019,135.29000,135.24000,135.29000,IEAC
02-Aug-2019,134.84000,134.84000,134.85000,IEAC
26-Jul-2019,135.04000,134.95000,135.04000,IEAC
19-Jul-2019,134.17000,134.09000,134.18000,IEAC
12-Jul-2019,133.43000,133.42000,133.49000,IEAC
05-Jul-2019,134.57000,134.55000,134.57000,IEAC
28-Jun-2019,133.94000,133.88000,133.94000,IEAC
21-Jun-2019,134.03000,133.95000,134.06000,IEAC
14-Jun-2019,132.75000,132.71000,132.75000,IEAC
07-Jun-2019,132.64000,132.53000,132.64000,IEAC
31-May-2019,131.72000,131.61000,131.72000,IEAC
24-May-2019,131.51000,131.42000,131.53000,IEAC
17-May-2019,131.93000,131.82000,131.93000,IEAC
10-May-2019,131.62000,131.60000,131.69000,IEAC
03-May-2019,132.06000,132.06000,132.19000,IEAC
26-Apr-2019,132.05000,132.05000,132.13000,IEAC
19-Apr-2019,131.64000,131.64000,131.77000,IEAC
12-Apr-2019,131.29000,131.26000,131.32000,IEAC
05-Apr-2019,131.23000,131.17000,131.25000,IEAC
29-Mar-2019,131.27000,131.20000,131.28000,IEAC
22-Mar-2019,130.79000,130.79000,130.82000,IEAC
15-Mar-2019,130.42000,130.29000,130.42000,IEAC
08-Mar-2019,129.54000,129.54000,129.64000,IEAC
01-Mar-2019,129.60000,129.48000,129.61000,IEAC
22-Feb-2019,129.37000,129.32000,129.38000,IEAC
15-Feb-2019,129.24000,129.23000,129.35000,IEAC
08-Feb-2019,128.97000,128.97000,129.02000,IEAC
01-Feb-2019,128.70000,128.67000,128.73000,IEAC
25-Jan-2019,128.03000,127.91000,128.13000,IEAC
18-Jan-2019,127.49000,127.48000,127.56000,IEAC
11-Jan-2019,127.65000,127.59000,127.71000,IEAC
04-Jan-2019,127.58000,127.46000,127.59000,IEAC
28-Dec-2018,127.79000,127.57000,127.80000,IEAC
21-Dec-2018,127.50000,127.37000,127.50000,IEAC
14-Dec-2018,127.79500,127.75000,127.84000,IEAC
07-Dec-2018,127.10000,127.09000,127.25000,IEAC
30-Nov-2018,127.51000,127.40000,127.55000,IEAC
23-Nov-2018,127.62000,127.42000,127.63000,IEAC
16-Nov-2018,127.71000,127.52000,127.72000,IEAC
09-Nov-2018,128.45500,128.41000,128.50000,IEAC
02-Nov-2018,128.28000,128.24000,128.32000,IEAC
26-Oct-2018,128.28500,128.24000,128.33000,IEAC
19-Oct-2018,128.51000,128.46000,128.56000,IEAC
12-Oct-2018,128.46000,128.34000,128.72000,IEAC
05-Oct-2018,128.28000,128.18000,128.29000,IEAC
28-Sept-2018,128.65000,128.56000,128.65000,IEAC
21-Sept-2018,128.91000,128.83000,128.92000,IEAC
14-Sept-2018,128.70500,128.67000,128.74000,IEAC
07-Sept-2018,128.60000,128.54000,128.60000,IEAC
31-Aug-2018,128.98000,128.90000,129.09000,IEAC
24-Aug-2018,129.16000,129.12000,129.20000,IEAC
17-Aug-2018,129.55000,129.50000,129.56000,IEAC
10-Aug-2018,129.63000,129.58000,129.68000,IEAC
03-Aug-2018,129.18000,129.18000,129.27000,IEAC
27-Jul-2018,129.32000,129.22000,129.32000,IEAC
20-Jul-2018,129.01000,128.92000,129.01000,IEAC
13-Jul-2018,129.26500,129.22000,129.31000,IEAC
06-Jul-2018,129.71000,129.60000,129.72000,IEAC
29-Jun-2018,129.26000,129.26000,129.33000,IEAC
22-Jun-2018,129.82000,129.73000,129.82000,IEAC
15-Jun-2018,129.59000,129.48000,129.59000,IEAC
08-Jun-2018,128.98000,128.86000,128.98000,IEAC
01-Jun-2018,129.41000,129.31000,129.41000,IEAC
25-May-2018,129.47000,129.37000,129.47000,IEAC
18-May-2018,129.27500,129.23000,129.32000,IEAC
11-May-2018,129.73500,129.70000,129.77000,IEAC
04-May-2018,129.75000,129.75000,129.84000,IEAC
27-Apr-2018,129.75000,129.70000,129.80000,IEAC
20-Apr-2018,129.63500,129.57000,129.70000,IEAC
13-Apr-2018,129.98000,129.91000,130.01000,IEAC
06-Apr-2018,129.77500,129.73000,129.82000,IEAC
30-Mar-2018,129.76000,129.66000,129.76000,IEAC
23-Mar-2018,129.37000,129.36000,129.46000,IEAC
16-Mar-2018,129.75000,129.70000,129.80000,IEAC
09-Mar-2018,129.84000,129.75000,129.85000,IEAC
02-Mar-2018,129.70000,129.69000,129.82000,IEAC
23-Feb-2018,129.90000,129.81000,129.91000,IEAC
16-Feb-2018,129.70000,129.69000,129.79000,IEAC
09-Feb-2018,129.44000,129.42000,129.58000,IEAC
02-Feb-2018,129.79000,129.69000,129.80000,IEAC
26-Jan-2018,130.19500,130.16000,130.23000,IEAC
19-Jan-2018,130.44000,130.37000,130.45000,IEAC
12-Jan-2018,130.11000,130.10000,130.20000,IEAC
05-Jan-2018,131.10500,131.07000,131.14000,IEAC
29-Dec-2017,130.92000,130.87000,130.97000,IEAC
22-Dec-2017,130.98000,130.91000,130.98000,IEAC
15-Dec-2017,131.59000,131.52000,131.60000,IEAC
08-Dec-2017,131.78000,131.69000,131.79000,IEAC
01-Dec-2017,131.56500,131.41000,131.72000,IEAC
24-Nov-2017,131.33000,131.26000,131.33000,IEAC
17-Nov-2017,131.25000,131.20000,131.30000,IEAC
