date,Close,Bid,Ask,asset
04-Mar-2022,82.54,82.54,82.55,HYG
25-Feb-2022,83.61,83.59,83.60,HYG
18-Feb-2022,82.89,82.89,82.90,HYG
11-Feb-2022,82.66,82.64,82.65,HYG
04-Feb-2022,83.77,83.75,83.76,HYG
28-Jan-2022,84.68,84.66,84.67,HYG
21-Jan-2022,85.44,85.42,85.43,HYG
14-Jan-2022,86.09,86.09,86.10,HYG
07-Jan-2022,85.87,85.87,85.88,HYG
31-Dec-2021,87.01,87.00,87.01,HYG
24-Dec-2021,87.16,87.16,87.17,HYG
17-Dec-2021,86.37,86.37,86.38,HYG
10-Dec-2021,86.63,86.64,86.65,HYG
03-Dec-2021,86.00,86.00,86.01,HYG
26-Nov-2021,85.47,85.46,85.48,HYG
19-Nov-2021,86.56,86.56,86.57,HYG
12-Nov-2021,86.85,86.86,86.87,HYG
05-Nov-2021,87.50,87.50,87.51,HYG
29-Oct-2021,86.93,86.94,86.95,HYG
22-Oct-2021,86.84,86.84,86.85,HYG
15-Oct-2021,87.22,87.20,87.21,HYG
08-Oct-2021,86.76,86.77,86.78,HYG
01-Oct-2021,87.41,87.39,87.40,HYG
24-Sept-2021,87.91,87.91,87.92,HYG
17-Sept-2021,88.00,87.99,88.00,HYG
10-Sept-2021,87.83,87.83,87.84,HYG
03-Sept-2021,88.01,88.00,88.01,HYG
27-Aug-2021,87.96,87.95,87.96,HYG
20-Aug-2021,87.29,87.26,87.27,HYG
13-Aug-2021,87.46,87.44,87.45,HYG
06-Aug-2021,87.38,87.38,87.39,HYG
30-Jul-2021,87.84,87.84,87.85,HYG
23-Jul-2021,87.95,87.96,87.97,HYG
16-Jul-2021,87.67,87.66,87.67,HYG
09-Jul-2021,88.00,87.98,87.99,HYG
02-Jul-2021,88.06,88.04,88.05,HYG
25-Jun-2021,87.93,87.93,87.94,HYG
18-Jun-2021,87.43,87.40,87.41,HYG
11-Jun-2021,87.62,87.63,87.64,HYG
04-Jun-2021,87.27,87.26,87.27,HYG
28-May-2021,87.18,87.19,87.20,HYG
21-May-2021,87.11,87.05,87.07,HYG
14-May-2021,87.21,87.17,87.18,HYG
07-May-2021,87.33,87.31,87.32,HYG
30-Apr-2021,87.44,87.44,87.45,HYG
23-Apr-2021,87.37,87.36,87.37,HYG
16-Apr-2021,87.30,87.30,87.31,HYG
09-Apr-2021,87.20,87.20,87.21,HYG
02-Apr-2021,87.07,87.05,87.06,HYG
26-Mar-2021,86.92,86.90,86.91,HYG
19-Mar-2021,86.06,86.09,86.10,HYG
12-Mar-2021,86.46,86.47,86.48,HYG
05-Mar-2021,86.62,86.60,86.61,HYG
26-Feb-2021,86.44,86.52,86.53,HYG
19-Feb-2021,87.50,87.50,87.51,HYG
12-Feb-2021,87.78,87.77,87.78,HYG
05-Feb-2021,87.52,87.51,87.52,HYG
29-Jan-2021,86.97,86.96,86.97,HYG
22-Jan-2021,87.30,87.29,87.30,HYG
15-Jan-2021,87.11,87.09,87.10,HYG
08-Jan-2021,87.37,87.36,87.37,HYG
01-Jan-2021,87.30,87.30,87.31,HYG
25-Dec-2020,87.05,87.03,87.04,HYG
18-Dec-2020,86.68,86.67,86.68,HYG
11-Dec-2020,86.68,86.68,86.69,HYG
04-Dec-2020,86.85,86.85,86.86,HYG
27-Nov-2020,86.41,86.41,86.42,HYG
20-Nov-2020,85.92,85.91,85.92,HYG
13-Nov-2020,85.44,85.46,85.47,HYG
06-Nov-2020,85.23,85.26,85.27,HYG
30-Oct-2020,83.88,83.88,83.89,HYG
23-Oct-2020,84.87,84.85,84.86,HYG
16-Oct-2020,84.63,84.62,84.63,HYG
09-Oct-2020,84.95,84.94,84.95,HYG
02-Oct-2020,83.83,83.81,83.82,HYG
25-Sept-2020,82.95,82.94,82.95,HYG
18-Sept-2020,84.29,84.29,84.30,HYG
11-Sept-2020,84.45,84.46,84.47,HYG
04-Sept-2020,84.49,84.53,84.54,HYG
28-Aug-2020,85.15,85.11,85.12,HYG
21-Aug-2020,84.74,84.72,84.73,HYG
14-Aug-2020,84.08,84.07,84.09,HYG
07-Aug-2020,85.17,85.18,85.19,HYG
31-Jul-2020,85.39,85.38,85.39,HYG
24-Jul-2020,84.60,84.62,84.63,HYG
17-Jul-2020,83.52,83.51,83.52,HYG
10-Jul-2020,82.49,82.46,82.48,HYG
03-Jul-2020,82.13,82.09,82.10,HYG
26-Jun-2020,81.34,81.33,81.34,HYG
19-Jun-2020,82.88,82.90,82.91,HYG
12-Jun-2020,82.44,82.46,82.47,HYG
05-Jun-2020,84.46,84.47,84.48,HYG
29-May-2020,82.42,82.45,82.46,HYG
22-May-2020,81.23,81.24,81.25,HYG
15-May-2020,78.71,78.71,78.72,HYG
08-May-2020,79.75,79.73,79.74,HYG
01-May-2020,78.68,78.69,78.70,HYG
24-Apr-2020,78.32,78.30,78.32,HYG
17-Apr-2020,81.09,81.10,81.11,HYG
10-Apr-2020,82.36,82.33,82.35,HYG
03-Apr-2020,73.55,73.59,73.62,HYG
27-Mar-2020,77.03,76.96,77.01,HYG
20-Mar-2020,69.75,69.72,69.74,HYG
13-Mar-2020,80.05,80.06,80.07,HYG
06-Mar-2020,85.05,85.07,85.09,HYG
28-Feb-2020,86.04,86.03,86.04,HYG
21-Feb-2020,88.33,88.31,88.32,HYG
14-Feb-2020,88.40,88.40,88.41,HYG
07-Feb-2020,87.97,87.96,87.97,HYG
31-Jan-2020,87.53,87.52,87.53,HYG
24-Jan-2020,87.69,87.70,87.71,HYG
17-Jan-2020,88.36,88.37,88.38,HYG
10-Jan-2020,88.39,88.38,88.39,HYG
03-Jan-2020,88.22,88.23,88.24,HYG
27-Dec-2019,87.92,87.93,87.94,HYG
20-Dec-2019,87.72,87.70,87.71,HYG
13-Dec-2019,87.61,87.60,87.61,HYG
06-Dec-2019,86.93,86.93,86.94,HYG
29-Nov-2019,86.94,86.95,86.96,HYG
22-Nov-2019,86.69,86.67,86.68,HYG
15-Nov-2019,86.94,86.93,86.94,HYG
08-Nov-2019,86.85,86.87,86.88,HYG
01-Nov-2019,86.82,86.83,86.84,HYG
25-Oct-2019,87.39,87.39,87.40,HYG
18-Oct-2019,87.09,87.08,87.09,HYG
11-Oct-2019,86.77,86.75,86.76,HYG
04-Oct-2019,86.43,86.41,86.42,HYG
27-Sept-2019,87.07,87.08,87.09,HYG
20-Sept-2019,87.48,87.45,87.46,HYG
13-Sept-2019,87.16,87.15,87.16,HYG
06-Sept-2019,87.14,87.13,87.14,HYG
30-Aug-2019,87.16,87.14,87.15,HYG
23-Aug-2019,86.55,86.55,86.56,HYG
16-Aug-2019,86.10,86.08,86.09,HYG
09-Aug-2019,86.25,86.22,86.23,HYG
02-Aug-2019,86.39,86.41,86.42,HYG
26-Jul-2019,87.17,87.15,87.16,HYG
19-Jul-2019,86.59,86.58,86.59,HYG
12-Jul-2019,86.93,86.91,86.92,HYG
05-Jul-2019,86.99,86.99,87.00,HYG
28-Jun-2019,87.18,87.20,87.21,HYG
21-Jun-2019,87.33,87.34,87.35,HYG
14-Jun-2019,86.29,86.28,86.29,HYG
07-Jun-2019,86.10,86.11,86.12,HYG
31-May-2019,84.90,84.91,84.92,HYG
24-May-2019,85.65,85.65,85.66,HYG
17-May-2019,85.94,85.93,85.94,HYG
10-May-2019,86.23,86.22,86.23,HYG
03-May-2019,86.57,86.56,86.57,HYG
26-Apr-2019,86.97,86.96,86.97,HYG
19-Apr-2019,86.68,86.68,86.69,HYG
12-Apr-2019,86.96,86.95,86.96,HYG
05-Apr-2019,86.43,86.42,86.43,HYG
29-Mar-2019,86.47,86.45,86.46,HYG
22-Mar-2019,85.84,85.83,85.84,HYG
15-Mar-2019,85.78,85.77,85.78,HYG
08-Mar-2019,85.10,85.09,85.10,HYG
01-Mar-2019,85.61,85.60,85.61,HYG
22-Feb-2019,85.59,85.58,85.59,HYG
15-Feb-2019,85.40,85.39,85.40,HYG
08-Feb-2019,84.79,84.79,84.80,HYG
01-Feb-2019,84.68,84.67,84.68,HYG
25-Jan-2019,84.41,84.40,84.41,HYG
18-Jan-2019,84.50,84.49,84.50,HYG
11-Jan-2019,83.89,83.89,83.90,HYG
04-Jan-2019,82.39,82.38,82.39,HYG
28-Dec-2018,81.04,81.06,81.07,HYG
21-Dec-2018,80.23,80.22,80.23,HYG
14-Dec-2018,83.16,83.16,83.17,HYG
07-Dec-2018,82.83,82.83,82.84,HYG
30-Nov-2018,83.60,83.61,83.62,HYG
23-Nov-2018,82.71,82.72,82.73,HYG
16-Nov-2018,83.27,83.24,83.25,HYG
09-Nov-2018,84.36,84.32,84.33,HYG
02-Nov-2018,84.27,84.27,84.28,HYG
26-Oct-2018,84.23,84.23,84.24,HYG
19-Oct-2018,84.90,84.89,84.90,HYG
12-Oct-2018,85.15,85.17,85.18,HYG
05-Oct-2018,85.30,85.31,85.32,HYG
28-Sept-2018,86.44,86.44,86.45,HYG
21-Sept-2018,86.24,86.24,86.25,HYG
14-Sept-2018,86.33,86.34,86.35,HYG
07-Sept-2018,85.70,85.71,85.72,HYG
31-Aug-2018,86.36,86.34,86.35,HYG
24-Aug-2018,86.38,86.36,86.37,HYG
17-Aug-2018,86.04,86.02,86.03,HYG
10-Aug-2018,85.89,85.89,85.90,HYG
03-Aug-2018,85.95,85.93,85.94,HYG
27-Jul-2018,85.91,85.92,85.93,HYG
20-Jul-2018,85.62,85.62,85.63,HYG
13-Jul-2018,85.61,85.62,85.63,HYG
06-Jul-2018,85.33,85.32,85.33,HYG
29-Jun-2018,85.08,85.06,85.07,HYG
22-Jun-2018,85.91,85.90,85.91,HYG
15-Jun-2018,86.12,86.13,86.14,HYG
08-Jun-2018,85.66,85.66,85.67,HYG
01-Jun-2018,85.19,85.18,85.19,HYG
25-May-2018,85.56,85.54,85.55,HYG
18-May-2018,85.40,85.38,85.39,HYG
11-May-2018,85.73,85.72,85.73,HYG
04-May-2018,85.42,85.42,85.43,HYG
27-Apr-2018,85.76,85.76,85.77,HYG
20-Apr-2018,85.89,85.90,85.91,HYG
13-Apr-2018,86.29,86.28,86.29,HYG
06-Apr-2018,85.27,85.27,85.28,HYG
30-Mar-2018,85.64,85.61,85.62,HYG
23-Mar-2018,84.92,84.92,84.93,HYG
16-Mar-2018,85.80,85.79,85.80,HYG
09-Mar-2018,86.07,86.08,86.08,HYG
02-Mar-2018,85.75,85.74,85.75,HYG
23-Feb-2018,86.39,86.36,86.37,HYG
16-Feb-2018,86.45,86.50,86.51,HYG
09-Feb-2018,84.95,84.94,84.95,HYG
02-Feb-2018,86.22,86.22,86.23,HYG
26-Jan-2018,87.76,87.77,87.78,HYG
