date,Close,Bid,Ask,asset
04-Mar-2022,123.64,123.65,123.70,LQD
25-Feb-2022,123.48,123.47,123.49,LQD
18-Feb-2022,123.68,123.67,123.68,LQD
11-Feb-2022,124.84,124.84,124.85,LQD
04-Feb-2022,125.45,125.46,125.47,LQD
28-Jan-2022,127.70,127.70,127.72,LQD
21-Jan-2022,128.90,128.92,128.94,LQD
14-Jan-2022,129.16,129.16,129.17,LQD
07-Jan-2022,129.72,129.72,129.73,LQD
31-Dec-2021,132.52,132.47,132.49,LQD
24-Dec-2021,132.70,132.71,132.72,LQD
17-Dec-2021,133.01,133.02,133.05,LQD
10-Dec-2021,132.79,132.81,132.82,LQD
03-Dec-2021,134.26,134.23,134.24,LQD
26-Nov-2021,132.68,132.70,132.71,LQD
19-Nov-2021,133.08,133.07,133.08,LQD
12-Nov-2021,132.98,132.99,133.01,LQD
05-Nov-2021,134.83,134.84,134.85,LQD
29-Oct-2021,133.48,133.49,133.50,LQD
22-Oct-2021,132.31,132.30,132.31,LQD
15-Oct-2021,133.22,133.26,133.27,LQD
08-Oct-2021,131.81,131.80,131.81,LQD
01-Oct-2021,133.74,133.76,133.77,LQD
24-Sept-2021,134.92,134.92,134.93,LQD
17-Sept-2021,135.36,135.37,135.40,LQD
10-Sept-2021,135.27,135.28,135.29,LQD
03-Sept-2021,134.99,134.96,134.97,LQD
27-Aug-2021,135.38,135.39,135.40,LQD
20-Aug-2021,135.23,135.23,135.24,LQD
13-Aug-2021,135.08,135.10,135.11,LQD
06-Aug-2021,134.66,134.70,134.71,LQD
30-Jul-2021,136.01,136.02,136.03,LQD
23-Jul-2021,135.77,135.71,135.75,LQD
16-Jul-2021,134.97,134.98,135.02,LQD
09-Jul-2021,134.82,134.80,134.81,LQD
02-Jul-2021,134.37,134.36,134.37,LQD
25-Jun-2021,133.48,133.47,133.48,LQD
18-Jun-2021,134.34,134.28,134.34,LQD
11-Jun-2021,133.67,133.62,133.63,LQD
04-Jun-2021,132.09,132.07,132.08,LQD
28-May-2021,131.71,131.67,131.68,LQD
21-May-2021,131.22,131.20,131.21,LQD
14-May-2021,131.05,131.07,131.08,LQD
07-May-2021,131.75,131.71,131.72,LQD
30-Apr-2021,131.15,131.18,131.19,LQD
23-Apr-2021,131.67,131.64,131.65,LQD
16-Apr-2021,131.07,131.06,131.07,LQD
09-Apr-2021,130.79,130.83,130.85,LQD
02-Apr-2021,130.61,130.61,130.62,LQD
26-Mar-2021,129.62,129.62,129.63,LQD
19-Mar-2021,128.63,128.64,128.65,LQD
12-Mar-2021,128.71,128.71,128.72,LQD
05-Mar-2021,129.76,129.68,129.73,LQD
26-Feb-2021,132.27,132.29,132.30,LQD
19-Feb-2021,133.17,133.20,133.21,LQD
12-Feb-2021,134.68,134.64,134.65,LQD
05-Feb-2021,134.79,134.79,134.80,LQD
29-Jan-2021,135.60,135.60,135.61,LQD
22-Jan-2021,135.70,135.66,135.69,LQD
15-Jan-2021,136.14,136.12,136.13,LQD
08-Jan-2021,135.76,135.77,135.78,LQD
01-Jan-2021,138.13,138.12,138.13,LQD
25-Dec-2020,137.77,137.81,137.83,LQD
18-Dec-2020,137.16,137.16,137.18,LQD
11-Dec-2020,137.28,137.26,137.27,LQD
04-Dec-2020,137.00,137.03,137.05,LQD
27-Nov-2020,138.00,137.98,138.00,LQD
20-Nov-2020,137.57,137.57,137.58,LQD
13-Nov-2020,135.76,135.75,135.76,LQD
06-Nov-2020,136.19,136.19,136.20,LQD
30-Oct-2020,133.73,133.75,133.76,LQD
23-Oct-2020,134.62,134.63,134.64,LQD
16-Oct-2020,135.34,135.32,135.35,LQD
09-Oct-2020,134.93,134.91,134.92,LQD
02-Oct-2020,134.81,134.81,134.82,LQD
25-Sept-2020,134.22,134.24,134.25,LQD
18-Sept-2020,135.73,135.73,135.74,LQD
11-Sept-2020,135.37,135.41,135.42,LQD
04-Sept-2020,134.95,134.97,135.01,LQD
28-Aug-2020,135.00,134.97,134.98,LQD
21-Aug-2020,136.45,136.47,136.48,LQD
14-Aug-2020,135.41,135.41,135.42,LQD
07-Aug-2020,138.76,138.81,138.82,LQD
31-Jul-2020,138.35,138.40,138.41,LQD
24-Jul-2020,138.12,138.13,138.14,LQD
17-Jul-2020,137.32,137.30,137.32,LQD
10-Jul-2020,135.87,135.83,135.84,LQD
03-Jul-2020,135.05,134.95,135.03,LQD
26-Jun-2020,133.50,133.45,133.46,LQD
19-Jun-2020,133.99,133.95,133.97,LQD
12-Jun-2020,132.34,132.28,132.29,LQD
05-Jun-2020,132.26,132.26,132.27,LQD
29-May-2020,132.02,131.86,131.87,LQD
22-May-2020,130.70,130.80,130.81,LQD
15-May-2020,128.55,128.58,128.60,LQD
08-May-2020,126.66,126.75,126.76,LQD
01-May-2020,128.34,128.37,128.43,LQD
24-Apr-2020,129.90,129.83,129.85,LQD
17-Apr-2020,130.56,130.41,130.54,LQD
10-Apr-2020,131.83,131.52,131.62,LQD
03-Apr-2020,121.10,121.24,121.28,LQD
27-Mar-2020,122.43,122.43,122.44,LQD
20-Mar-2020,106.74,106.74,106.75,LQD
13-Mar-2020,123.05,123.38,123.39,LQD
06-Mar-2020,134.27,134.25,134.26,LQD
28-Feb-2020,132.18,132.28,132.29,LQD
21-Feb-2020,131.75,131.73,131.74,LQD
14-Feb-2020,130.98,130.95,130.96,LQD
07-Feb-2020,130.69,130.71,130.72,LQD
31-Jan-2020,131.09,131.09,131.10,LQD
24-Jan-2020,130.07,130.07,130.08,LQD
17-Jan-2020,128.99,129.00,129.01,LQD
10-Jan-2020,128.70,128.67,128.68,LQD
03-Jan-2020,128.67,128.63,128.64,LQD
27-Dec-2019,128.26,128.28,128.29,LQD
20-Dec-2019,127.66,127.66,127.67,LQD
13-Dec-2019,128.39,128.37,128.38,LQD
06-Dec-2019,127.67,127.66,127.67,LQD
29-Nov-2019,127.97,128.06,128.07,LQD
22-Nov-2019,127.47,127.48,127.49,LQD
15-Nov-2019,126.85,126.81,126.82,LQD
08-Nov-2019,125.71,125.72,125.73,LQD
01-Nov-2019,127.49,127.52,127.53,LQD
25-Oct-2019,127.20,127.19,127.20,LQD
18-Oct-2019,127.14,127.10,127.13,LQD
11-Oct-2019,126.58,126.59,126.60,LQD
04-Oct-2019,128.27,128.24,128.25,LQD
27-Sept-2019,127.06,127.09,127.10,LQD
20-Sept-2019,127.17,127.15,127.16,LQD
13-Sept-2019,124.68,124.72,124.73,LQD
06-Sept-2019,128.09,128.10,128.11,LQD
30-Aug-2019,128.80,128.70,128.77,LQD
23-Aug-2019,128.40,128.37,128.38,LQD
16-Aug-2019,127.85,127.82,127.83,LQD
09-Aug-2019,125.94,125.98,125.99,LQD
02-Aug-2019,125.12,125.13,125.14,LQD
26-Jul-2019,124.34,124.33,124.34,LQD
19-Jul-2019,123.77,123.77,123.78,LQD
12-Jul-2019,123.07,123.05,123.06,LQD
05-Jul-2019,123.83,123.86,123.87,LQD
28-Jun-2019,124.37,124.38,124.39,LQD
21-Jun-2019,123.64,123.66,123.67,LQD
14-Jun-2019,121.77,121.76,121.77,LQD
07-Jun-2019,121.56,121.51,121.52,LQD
31-May-2019,120.83,120.80,120.81,LQD
24-May-2019,119.73,119.70,119.71,LQD
17-May-2019,119.25,119.25,119.26,LQD
10-May-2019,118.86,118.84,118.85,LQD
03-May-2019,118.93,118.91,118.92,LQD
26-Apr-2019,119.64,119.63,119.64,LQD
19-Apr-2019,118.58,118.58,118.59,LQD
12-Apr-2019,119.02,118.99,119.00,LQD
05-Apr-2019,118.55,118.51,118.52,LQD
29-Mar-2019,119.06,119.06,119.07,LQD
22-Mar-2019,118.55,118.54,118.56,LQD
15-Mar-2019,116.86,116.84,116.85,LQD
08-Mar-2019,116.41,116.41,116.42,LQD
01-Mar-2019,115.47,115.49,115.51,LQD
22-Feb-2019,116.38,116.36,116.37,LQD
15-Feb-2019,116.22,116.21,116.22,LQD
08-Feb-2019,116.35,116.36,116.37,LQD
01-Feb-2019,115.99,116.00,116.01,LQD
25-Jan-2019,115.05,115.04,115.05,LQD
18-Jan-2019,114.17,114.19,114.21,LQD
11-Jan-2019,113.75,113.76,113.77,LQD
04-Jan-2019,113.15,113.15,113.16,LQD
28-Dec-2018,112.51,112.50,112.51,LQD
21-Dec-2018,112.33,112.32,112.33,LQD
14-Dec-2018,112.73,112.71,112.72,LQD
07-Dec-2018,111.89,111.88,111.89,LQD
30-Nov-2018,111.46,111.46,111.47,LQD
23-Nov-2018,111.64,111.64,111.65,LQD
16-Nov-2018,111.73,111.72,111.73,LQD
09-Nov-2018,112.18,112.18,112.19,LQD
02-Nov-2018,111.75,111.75,111.76,LQD
26-Oct-2018,112.93,112.97,112.98,LQD
19-Oct-2018,112.70,112.68,112.69,LQD
12-Oct-2018,113.32,113.35,113.36,LQD
05-Oct-2018,112.94,112.95,112.96,LQD
28-Sept-2018,114.93,114.92,114.93,LQD
21-Sept-2018,114.71,114.71,114.72,LQD
14-Sept-2018,115.10,115.08,115.09,LQD
07-Sept-2018,114.65,114.65,114.65,LQD
31-Aug-2018,115.44,115.46,115.47,LQD
24-Aug-2018,116.24,116.23,116.24,LQD
17-Aug-2018,115.97,115.97,115.98,LQD
10-Aug-2018,115.36,115.37,115.38,LQD
03-Aug-2018,115.51,115.50,115.51,LQD
27-Jul-2018,115.56,115.54,115.55,LQD
