date,Close,Bid,Ask,asset
04-Mar-2022,26875.0 ,26850.0 ,26875.0 ,1321
25-Feb-2022,27355.0 ,27340.0 ,27360.0 ,1321
18-Feb-2022,28020.0 ,28000.0 ,28020.0 ,1321
11-Feb-2022,28610.0 ,28595.0 ,28615.0 ,1321
04-Feb-2022,28315.0 ,28300.0 ,28315.0 ,1321
28-Jan-2022,27620.0 ,27590.0 ,27620.0 ,1321
21-Jan-2022,28430.0 ,28420.0 ,28435.0 ,1321
14-Jan-2022,29060.0 ,29040.0 ,29060.0 ,1321
07-Jan-2022,29425.0 ,29405.0 ,29430.0 ,1321
31-Dec-2021,29770.0 ,29735.0 ,29770.0 ,1321
24-Dec-2021,29715.0 ,29700.0 ,29715.0 ,1321
17-Dec-2021,29440.0 ,29420.0 ,29445.0 ,1321
10-Dec-2021,29325.0 ,29315.0 ,29325.0 ,1321
03-Dec-2021,28915.0 ,28890.0 ,28915.0 ,1321
26-Nov-2021,29680.0 ,29650.0 ,29680.0 ,1321
19-Nov-2021,30700.0 ,30650.0 ,30700.0 ,1321
12-Nov-2021,30600.0 ,30550.0 ,30600.0 ,1321
05-Nov-2021,30500.0 ,30500.0 ,30550.0 ,1321
29-Oct-2021,29840.0 ,29810.0 ,29840.0 ,1321
22-Oct-2021,29710.0 ,29690.0 ,29710.0 ,1321
15-Oct-2021,29990.0 ,29970.0 ,29990.0 ,1321
08-Oct-2021,28950.0 ,28940.0 ,28950.0 ,1321
01-Oct-2021,29700.0 ,29680.0 ,29700.0 ,1321
24-Sept-2021,31000.0 ,31000.0 ,31050.0 ,1321
17-Sept-2021,31250.0 ,31250.0 ,31300.0 ,1321
10-Sept-2021,31150.0 ,31100.0 ,31150.0 ,1321
03-Sept-2021,29840.0 ,29840.0 ,29850.0 ,1321
27-Aug-2021,28330.0 ,28330.0 ,28340.0 ,1321
20-Aug-2021,27700.0 ,27700.0 ,27740.0 ,1321
13-Aug-2021,28690.0 ,28690.0 ,28710.0 ,1321
06-Aug-2021,28510.0 ,28510.0 ,28530.0 ,1321
30-Jul-2021,27990.0 ,27970.0 ,27990.0 ,1321
23-Jul-2021,28220.0 ,28220.0 ,28240.0 ,1321
16-Jul-2021,28720.0 ,28710.0 ,28720.0 ,1321
09-Jul-2021,28690.0 ,28670.0 ,28690.0 ,1321
02-Jul-2021,29860.0 ,29860.0 ,29880.0 ,1321
