Altimeter type,Merged file cycle nr,Year,Nr observations,Weighted nr observations,GMSL,GMSL std,GMSL smooth,GIA,GIA std,GIA smooth,GIA smooth cycle removed
0.0,11.0,1993.0115260000002,466462.0,337277.0,-37.24,92.66,-37.02,-37.24,92.66,-37.02,-37.55
0.0,12.0,1993.038692,460889.0,334037.31,-40.35,95.39,-38.2,-40.34,95.39,-38.19,-38.06
0.0,13.0,1993.065858,472123.0,342416.09,-40.17,92.29,-38.28,-40.16,92.29,-38.27,-37.6
0.0,14.0,1993.093025,421377.0,306050.59,-41.92,96.2,-38.56,-41.89,96.19,-38.54,-37.45
0.0,15.0,1993.120191,459548.0,331094.09,-36.89,94.64,-37.87,-36.85,94.63,-37.83,-36.44
0.0,16.0,1993.147357,416480.0,300344.81,-35.69,93.22,-36.96,-35.65,93.21,-36.93,-35.31
0.0,17.0,1993.1745230000001,467980.0,337061.91,-36.09,91.67,-36.14,-36.05,91.67,-36.09,-34.28
0.0,18.0,1993.201689,466075.0,335414.41,-34.7,91.95,-35.53,-34.65,91.94,-35.48,-33.5
0.0,19.0,1993.228855,461207.0,331521.09,-34.04,91.7,-35.18,-33.98,91.68,-35.12,-32.94
999.0,20.0,1993.2560210000001,467274.0,340098.59,-37.95,101.31,-35.09,-37.88,101.29,-35.02,-32.6
0.0,21.0,1993.2831879999999,461743.0,331709.69,-36.48,89.84,-35.23,-36.41,89.83,-35.16,-32.45
0.0,22.0,1993.310354,469833.0,338035.69,-33.09,89.52,-35.6,-33.0,89.5,-35.51,-32.47
0.0,23.0,1993.3375199999998,467659.0,337536.5,-35.11,88.88,-36.12,-35.01,88.86,-36.02,-32.63
0.0,24.0,1993.364686,467923.0,336246.41,-37.76,88.73,-36.52,-37.66,88.71,-36.42,-32.69
0.0,25.0,1993.391852,470038.0,337664.19,-39.0,89.03,-36.94,-38.9,89.01,-36.84,-32.84
0.0,26.0,1993.419018,471715.0,339521.19,-38.36,88.65,-36.8,-38.25,88.62,-36.69,-32.53
0.0,27.0,1993.4461850000002,468842.0,338293.0,-35.35,89.34,-36.71,-35.22,89.32,-36.59,-32.43
0.0,28.0,1993.473351,468765.0,339163.81,-35.44,88.12,-36.43,-35.31,88.09,-36.3,-32.32
0.0,29.0,1993.5005170000002,448241.0,326745.5,-36.07,86.35,-36.21,-35.93,86.33,-36.07,-32.5
0.0,30.0,1993.5276829999998,461232.0,336487.41,-37.01,88.23,-35.94,-36.86,88.22,-35.79,-32.85
999.0,31.0,1993.5548489999999,258732.0,192559.3,-29.54,93.85,-35.4,-29.4,93.84,-35.25,-33.15
0.0,32.0,1993.582015,456883.0,334420.59,-36.06,91.11,-34.5,-35.9,91.1,-34.34,-33.24
0.0,33.0,1993.6091809999998,424739.0,310696.41,-35.26,91.93,-33.42,-35.1,91.92,-33.25,-33.28
0.0,34.0,1993.636348,453727.0,333155.81,-30.75,91.55,-32.39,-30.58,91.55,-32.22,-33.43
0.0,35.0,1993.663514,451300.0,331899.69,-29.66,90.96,-31.49,-29.48,90.97,-31.31,-33.68
0.0,36.0,1993.6906800000002,453811.0,333710.59,-31.15,88.24,-30.72,-30.97,88.25,-30.53,-33.96
0.0,37.0,1993.717846,411289.0,303010.0,-32.31,88.86,-30.03,-32.11,88.87,-29.83,-34.16
0.0,38.0,1993.745012,455693.0,334980.91,-29.0,88.7,-29.26,-28.8,88.72,-29.06,-34.07
0.0,39.0,1993.7721780000002,452872.0,332724.5,-25.4,89.65,-28.71,-25.19,89.68,-28.5,-33.92
